	sample_uid	Immune_All_Low_predicted_labels	has_vdj	p_real_vdj	ambient_rate
0	TBd1_frozen_BMa	Pro-B cells	0.0	-inf	0.0032213529682466636
1	TBd1_frozen_BMa	Small pre-B cells	0.0	-inf	0.0032213529682466636
2	TBd1_frozen_BMb	Pro-B cells	0.0	-inf	0.003125
3	TBd1_frozen_LNa	Germinal center B cells	1.0	0.9842986741102582	0.0157013258897418
4	TBd1_frozen_LNb	Germinal center B cells	1.0	0.9860097323600974	0.013990267639902677
5	TBd1_frozen_LNb	Proliferative germinal center B cells	1.0	0.9860097323600974	0.013990267639902677
6	TBd2_frozen_BMb	Small pre-B cells	1.0	0.983575489576753	0.016424510423247
7	TBd2_frozen_LN1	Germinal center B cells	1.0	0.9018691588785047	0.09813084112149532
8	TBd2_frozen_LN1	Proliferative germinal center B cells	0.7368421052631579	0.866822429906542	0.09813084112149532
9	TBd2_frozen_LN2	Cycling B cells	1.0	0.8035714285714286	0.19642857142857142
10	TBd2_frozen_LN2	Germinal center B cells	0.75	0.7380952380952381	0.19642857142857142
11	TBd2_frozen_LN2	Proliferative germinal center B cells	0.7560975609756098	0.7402073732718895	0.19642857142857142
12	TBd2_frozen_PB1	Transitional B cells	0.3333333333333333	0.8172804532577904	0.060906515580736544
13	TBd2_frozen_PB2	Pre-pro-B cells	1.0	0.9532908704883227	0.04670912951167728
14	TBd2_frozen_PB2	Transitional B cells	0.75	0.937721160651097	0.04670912951167728
15	TBd2_frozen_SPa	Cycling B cells	1.0	1.0	0.0
16	TBd2_frozen_SPa	Germinal center B cells	1.0	1.0	0.0
17	TBd2_frozen_SPa	Proliferative germinal center B cells	0.0		0.0
18	TBd2_frozen_SPa	Small pre-B cells	0.0		0.0
19	TBd2_frozen_SPb	Germinal center B cells	1.0	1.0	0.0
20	TBd2_frozen_SPb	Pre-pro-B cells	1.0	1.0	0.0
21	TBd3_fresh_P50	Pre-pro-B cells	0.0	-inf	0.013123359580052493
22	TBd3_frozen_BMa	Transitional B cells	0.5	0.8992939427722036	0.050353028613898176
23	TBd3_frozen_BMb	Small pre-B cells	1.0	0.961173734120594	0.03882626587940598
24	TBd3_frozen_PBb	Transitional B cells	0.0	-inf	0.014833127317676144
25	TBd4_frozen_BMa	Transitional B cells	1.0	0.9827586206896551	0.017241379310344827
26	TBd4_frozen_BMb	Small pre-B cells	1.0	0.9875435974090683	0.01245640259093174
27	TBd4_frozen_BMb	Transitional B cells	1.0	0.9875435974090683	0.01245640259093174
28	TBd4_frozen_PBb	Transitional B cells	1.0	0.9905956112852664	0.009404388714733543
29	TBd5_frozen_SP	Germinal center B cells	0.6	0.9682772083943387	0.01903367496339678
30	TBd5_frozen_SP	Pre-pro-B cells	0.8333333333333334	0.9771595900439238	0.01903367496339678
31	TBd5_frozen_SP	Pro-B cells	0.0	-inf	0.01903367496339678
32	TBd5_frozen_SP	Proliferative germinal center B cells	1.0	0.9809663250366032	0.01903367496339678
33	TBd6_fresh_LN	B cells	1.0	0.9651652418017098	0.03483475819829016
34	TBd6_fresh_LN	Germinal center B cells	1.0	0.9651652418017098	0.03483475819829016
35	TBd6_fresh_LN	Pre-pro-B cells	1.0	0.9651652418017098	0.03483475819829016
36	TBd6_fresh_LN	Proliferative germinal center B cells	0.52	0.9330100803879036	0.03483475819829016
37	TBd6_fresh_PB	Proliferative germinal center B cells	1.0	0.8555555555555556	0.14444444444444443
38	TBd6_fresh_SP	Pro-B cells	1.0	1.0	0.0
39	TBd6_fresh_SP	Proliferative germinal center B cells	1.0	1.0	0.0
