sample_uid	lib_type	sample_index	expected_cells_thousands	donor	sample_type	subanatomical_location	tissue	ht_sample
TBd1_frozen_BM_HTa	gex	SI-TT-A2	10	TBd1	frozen	BM	BM	True
TBd1_frozen_BM_HTa	vdj	SI-TT-B2	10	TBd1	frozen	BM	BM	True
TBd1_frozen_BM_HTb	gex	SI-TT-A7	10	TBd1	frozen	BM	BM	True
TBd1_frozen_BM_HTb	vdj	SI-TT-B5	10	TBd1	frozen	BM	BM	True
TBd1_frozen_BMover_HTa	vdj	SI-TT-B8	40	TBd1	frozen	BM	BM	True
TBd1_frozen_BMover_HTb	vdj	SI-TT-B11	40	TBd1	frozen	BM	BM	True
TBd1_frozen_MELN_HTa	gex	SI-TT-A3	10	TBd1	frozen	MELN	LN	True
TBd1_frozen_MELN_HTa	vdj	SI-TT-B3	10	TBd1	frozen	MELN	LN	True
TBd1_frozen_MELN_HTb	gex	SI-TT-A8	10	TBd1	frozen	MELN	LN	True
TBd1_frozen_MELN_HTb	vdj	SI-TT-B6	10	TBd1	frozen	MELN	LN	True
TBd1_frozen_MELNover_HTa	vdj	SI-TT-B9	40	TBd1	frozen	MELN	LN	True
TBd1_frozen_MELNover_HTb	vdj	SI-TT-B12	40	TBd1	frozen	MELN	LN	True
TBd1_frozen_PB_HTa	gex	SI-TT-A1	10	TBd1	frozen	PB	PB	True
TBd1_frozen_PB_HTa	vdj	SI-TT-B1	10	TBd1	frozen	PB	PB	True
TBd1_frozen_PB_HTb	gex	SI-TT-A6	10	TBd1	frozen	PB	PB	True
TBd1_frozen_PB_HTb	vdj	SI-TT-B4	10	TBd1	frozen	PB	PB	True
TBd1_frozen_PBover_HTa	vdj	SI-TT-B7	40	TBd1	frozen	PB	PB	True
TBd1_frozen_PBover_HTb	vdj	SI-TT-B10	40	TBd1	frozen	PB	PB	True
TBd2_frozen_BM_HTa	gex	SI-TT-A4	10	TBd2	frozen	BM	BM	True
TBd2_frozen_BM_HTa	vdj	SI-TT-E9	10	TBd2	frozen	BM	BM	True
TBd2_frozen_BM_HTb	gex	SI-TT-A9	10	TBd2	frozen	BM	BM	True
TBd2_frozen_BM_HTb	vdj	SI-TT-E11	10	TBd2	frozen	BM	BM	True
TBd2_frozen_BMover_HTa	vdj	SI-TT-H9	40	TBd2	frozen	BM	BM	True
TBd2_frozen_BMover_HTb	vdj	SI-TT-H10	40	TBd2	frozen	BM	BM	True
TBd2_frozen_PB_a	gex	SI-TT-G1	13	TBd2	frozen	PB	PB	False
TBd2_frozen_PB_a	vdj	SI-TT-D9	13	TBd2	frozen	PB	PB	False
TBd2_frozen_PB_b	gex	SI-TT-G2	13	TBd2	frozen	PB	PB	False
TBd2_frozen_PB_b	vdj	SI-TT-D10	13	TBd2	frozen	PB	PB	False
TBd2_frozen_SDLN1_a	gex	SI-TT-G3	20	TBd2	frozen	SDLN1	LN	False
TBd2_frozen_SDLN1_a	vdj	SI-TT-D11	20	TBd2	frozen	SDLN1	LN	False
TBd2_frozen_SDLN1_b	gex	SI-TT-G4	20	TBd2	frozen	SDLN1	LN	False
TBd2_frozen_SDLN1_b	vdj	SI-TT-D12	30	TBd2	frozen	SDLN1	LN	False
TBd2_frozen_SDLN2_HT	gex	SI-TT-B1	20	TBd2	frozen	SDLN2	LN	True
TBd2_frozen_SDLN2_HTa	vdj	SI-TT-H11	10	TBd2	frozen	SDLN2	LN	True
TBd2_frozen_SDLN2_HTb	vdj	SI-TT-A11	10	TBd2	frozen	SDLN2	LN	True
TBd2_frozen_SDLN2over_HTa	vdj	SI-TT-G4	40	TBd2	frozen	SDLN2	LN	True
TBd2_frozen_SDLN2over_HTb	vdj	SI-TT-A10	40	TBd2	frozen	SDLN2	LN	True
TBd2_frozen_SP_HTa	gex	SI-TT-A5	10	TBd2	frozen	SP	SP	True
TBd2_frozen_SP_HTa	vdj	SI-TT-E10	10	TBd2	frozen	SP	SP	True
TBd2_frozen_SP_HTb	gex	SI-TT-A*	10	TBd2	frozen	SP	SP	True
TBd2_frozen_SP_HTb	vdj	SI-TT-E12	10	TBd2	frozen	SP	SP	True
TBd2_frozen_SPover_HTa	vdj	SI-TT-H11	40	TBd2	frozen	SP	SP	True
TBd2_frozen_SPover_HTb	vdj	SI-TT-H12	40	TBd2	frozen	SP	SP	True
TBd3_fresh_BM_a	gex	SI-TT-H3	20	TBd3	fresh	BM	BM	False
TBd3_fresh_BM_a	vdj	SI-TT-C11	20	TBd3	fresh	BM	BM	False
TBd3_fresh_BM_b	gex	SI-TT-H4	20	TBd3	fresh	BM	BM	False
TBd3_fresh_BM_b	vdj	SI-TT-C12	20	TBd3	fresh	BM	BM	False
TBd3_fresh_PB_a	gex	SI-TT-H1	20	TBd3	fresh	PB	PB	False
TBd3_fresh_PB_a	vdj	SI-TT-C9	20	TBd3	fresh	PB	PB	False
TBd3_fresh_PB_b	gex	SI-TT-H2	5	TBd3	fresh	PB	PB	False
TBd3_fresh_PB_b	vdj	SI-TT-C10	5	TBd3	fresh	PB	PB	False
TBd3_frozen_BM_HTa	gex	SI-TT-H7	16	TBd3	frozen	BM	BM	True
TBd3_frozen_BM_HTa	vdj	SI-TT-C5	16	TBd3	frozen	BM	BM	True
TBd3_frozen_BM_HTb	gex	SI-TT-H8	16	TBd3	frozen	BM	BM	True
TBd3_frozen_BM_HTb	vdj	SI-TT-C6	16	TBd3	frozen	BM	BM	True
TBd3_frozen_BMover_HTa	vdj	SI-TT-C7	48	TBd3	frozen	BM	BM	True
TBd3_frozen_BMover_HTb	vdj	SI-TT-C8	48	TBd3	frozen	BM	BM	True
TBd3_frozen_PB_HTa	gex	SI-TT-H5	10	TBd3	frozen	PB	PB	True
TBd3_frozen_PB_HTa	vdj	SI-TT-C1	10	TBd3	frozen	PB	PB	True
TBd3_frozen_PB_HTb	gex	SI-TT-H6	10	TBd3	frozen	PB	PB	True
TBd3_frozen_PB_HTb	vdj	SI-TT-C2	10	TBd3	frozen	PB	PB	True
TBd3_frozen_PBover_HTa	vdj	SI-TT-C3	32	TBd3	frozen	PB	PB	True
TBd3_frozen_PBover_HTb	vdj	SI-TT-C4	32	TBd3	frozen	PB	PB	True
TBd4_frozen_BM_HTa	gex	SI-TT-G12	10	TBd4	frozen	BM	BM	True
TBd4_frozen_BM_HTa	vdj	SI-TT-G3	10	TBd4	frozen	BM	BM	True
TBd4_frozen_BM_HTb	gex	SI-TT-H12	10	TBd4	frozen	BM	BM	True
TBd4_frozen_BM_HTb	vdj	SI-TT-G4	10	TBd4	frozen	BM	BM	True
TBd4_frozen_BMover_HTa	vdj	SI-TT-G7	40	TBd4	frozen	BM	BM	True
TBd4_frozen_BMover_HTb	vdj	SI-TT-G8	40	TBd4	frozen	BM	BM	True
TBd4_frozen_PB_HTa	gex	SI-TT-E12	10	TBd4	frozen	PB	PB	True
TBd4_frozen_PB_HTa	vdj	SI-TT-G1	10	TBd4	frozen	PB	PB	True
TBd4_frozen_PB_HTb	gex	SI-TT-F12	10	TBd4	frozen	PB	PB	True
TBd4_frozen_PB_HTb	vdj	SI-TT-G2	10	TBd4	frozen	PB	PB	True
TBd4_frozen_PBover_HTa	vdj	SI-TT-G5	40	TBd4	frozen	PB	PB	True
TBd4_frozen_PBover_HTb	vdj	SI-TT-G6	40	TBd4	frozen	PB	PB	True
TBd5_fresh_BM_a	vdj	SI-TT-G10	100	TBd5	fresh	BM	BM	False
TBd5_fresh_BM_b	vdj	SI-TT-F12	100	TBd5	fresh	BM	BM	False
TBd5_fresh_PB	vdj	SI-TT-G9	50	TBd5	fresh	PB	PB	False
TBd5_fresh_SDLN1	vdj	SI-TT-G11	100	TBd5	fresh	SDLN1	LN	False
TBd5_fresh_SP	vdj	SI-TT-G12	100	TBd5	fresh	SP	SP	False
TBd5_frozen_BM_HT	gex	SI-TT-H11	20	TBd5	frozen	BM	BM	True
TBd5_frozen_BM_HTa	vdj	SI-TT-D3	10	TBd5	frozen	BM	BM	True
TBd5_frozen_BM_HTb	vdj	SI-TT-D6	10	TBd5	frozen	BM	BM	True
TBd5_frozen_BMover_HTa	vdj	SI-TT-A8	40	TBd5	frozen	BM	BM	True
TBd5_frozen_BMover_HTb	vdj	SI-TT-A11	40	TBd5	frozen	BM	BM	True
TBd5_frozen_PB_HT	gex	SI-TT-B5	5	TBd5	frozen	PB	PB	True
TBd5_frozen_PB_HTa	vdj	SI-TT-A8	10	TBd5	frozen	PB	PB	True
TBd5_frozen_PB_HTb	vdj	SI-TT-A7	10	TBd5	frozen	PB	PB	True
TBd5_frozen_PBover_HT	gex	SI-TT-B6	20	TBd5	frozen	PB	PB	True
TBd5_frozen_PBover_HTa	vdj	SI-TT-G8	40	TBd5	frozen	PB	PB	True
TBd5_frozen_PBover_HTb	vdj	SI-TT-G8	40	TBd5	frozen	PB	PB	True
TBd5_frozen_SDLN1_HT	gex	SI-TT-H9	10	TBd5	frozen	SDLN1	LN	True
TBd5_frozen_SDLN1_HTa	vdj	SI-TT-D1	10	TBd5	frozen	SDLN1	LN	True
TBd5_frozen_SDLN1_HTb	vdj	SI-TT-D4	10	TBd5	frozen	SDLN1	LN	True
TBd5_frozen_SDLN1over_HTa	vdj	SI-TT-A7	40	TBd5	frozen	SDLN1	LN	True
TBd5_frozen_SDLN1over_HTb	vdj	SI-TT-A10	40	TBd5	frozen	SDLN1	LN	True
TBd5_frozen_SP_HT	gex	SI-TT-H10	20	TBd5	frozen	SP	SP	True
TBd5_frozen_SP_HTa	vdj	SI-TT-D2	10	TBd5	frozen	SP	SP	True
TBd5_frozen_SP_HTb	vdj	SI-TT-D5	10	TBd5	frozen	SP	SP	True
TBd5_frozen_SPover_HTa	vdj	SI-TT-A9	40	TBd5	frozen	SP	SP	True
TBd5_frozen_SPover_HTb	vdj	SI-TT-A12	40	TBd5	frozen	SP	SP	True
TBd6_fresh_BM	gex	SI-TT-C10	10	TBd6	fresh	BM	BM	False
TBd6_fresh_BM	vdj	SI-TT-H2	20	TBd6	fresh	BM	BM	False
TBd6_fresh_BMover	vdj	SI-TT-H6	70	TBd6	fresh	BM	BM	False
TBd6_fresh_PB	gex	SI-TT-C9	10	TBd6	fresh	PB	PB	False
TBd6_fresh_PB	vdj	SI-TT-H1	20	TBd6	fresh	PB	PB	False
TBd6_fresh_PBover	vdj	SI-TT-H5	70	TBd6	fresh	PB	PB	False
TBd6_fresh_SDLN3	gex	SI-TT-C11	10	TBd6	fresh	SDLN3	LN	False
TBd6_fresh_SDLN3	vdj	SI-TT-H3	20	TBd6	fresh	SDLN3	LN	False
TBd6_fresh_SDLN3over	vdj	SI-TT-H7	70	TBd6	fresh	SDLN3	LN	False
TBd6_fresh_SP	gex	SI-TT-C12	10	TBd6	fresh	SP	SP	False
TBd6_fresh_SP	vdj	SI-TT-H4	20	TBd6	fresh	SP	SP	False
TBd6_fresh_SPover	vdj	SI-TT-H8	70	TBd6	fresh	SP	SP	False
TBd6_frozen_MELN1_HT	gex	SI-TT-B2	20	TBd6	frozen	MELN1	LN	True
TBd6_frozen_MELN1_HTa	vdj	SI-TT-H1	10	TBd6	frozen	MELN1	LN	True
TBd6_frozen_MELN1_HTb	vdj	SI-TT-H1	10	TBd6	frozen	MELN1	LN	True
TBd6_frozen_MELN1over_HTa	vdj	SI-TT-H2	40	TBd6	frozen	MELN1	LN	True
TBd6_frozen_MELN1over_HTb	vdj	SI-TT-H8	40	TBd6	frozen	MELN1	LN	True
TBd6_frozen_SDLN1_HT	gex	SI-TT-B3	20	TBd6	frozen	SDLN1	LN	True
TBd6_frozen_SDLN1_HTa	vdj	SI-TT-H10	10	TBd6	frozen	SDLN1	LN	True
TBd6_frozen_SDLN1_HTb	vdj	SI-TT-H7	10	TBd6	frozen	SDLN1	LN	True
TBd6_frozen_SDLN1over_HTa	vdj	SI-TT-G2	40	TBd6	frozen	SDLN1	LN	True
TBd6_frozen_SDLN1over_HTb	vdj	SI-TT-H9	40	TBd6	frozen	SDLN1	LN	True
