donor,sample_type,sample_index,lib_type,expected_cells_thousands,sample_uid
TBd3,fresh,H1,gex,20,TBd3_fresh_P50
TBd3,fresh,H2,gex,5,TBd3_fresh_P6
TBd3,fresh,H3,gex,20,TBd3_fresh_B200
TBd3,fresh,H4,gex,20,TBd3_fresh_B20
TBd3,frozen,H5,gex,10,TBd3_frozen_PBa
TBd3,frozen,H6,gex,10,TBd3_frozen_PBb
TBd3,frozen,H7,gex,16,TBd3_frozen_BMa
TBd3,frozen,H8,gex,16,TBd3_frozen_BMb
TBd5,frozen,H9,gex,10,TBd5_frozen_LN
TBd5,frozen,H10,gex,20,TBd5_frozen_SP
TBd5,frozen,H11,gex,20,TBd5_frozen_BM
TBd4,frozen,E12,gex,10,TBd4_frozen_PBa
TBd4,frozen,F12,gex,10,TBd4_frozen_PBb
TBd4,frozen,G12,gex,10,TBd4_frozen_BMa
TBd4,frozen,H12,gex,10,TBd4_frozen_BMb
TBd2,frozen,G1,gex,13,TBd2_frozen_PB1
TBd2,frozen,G2,gex,13,TBd2_frozen_PB2
TBd2,frozen,G3,gex,20,TBd2_frozen_LN1
TBd2,frozen,G4,gex,20,TBd2_frozen_LN2
TBd1,frozen,A1,gex,10,TBd1_frozen_PBa
TBd1,frozen,A2,gex,10,TBd1_frozen_BMa
TBd1,frozen,A3,gex,10,TBd1_frozen_LNa
TBd2,frozen,A4,gex,10,TBd2_frozen_BMa
TBd2,frozen,A5,gex,10,TBd2_frozen_SPa
TBd1,frozen,A6,gex,10,TBd1_frozen_PBb
TBd1,frozen,A7,gex,10,TBd1_frozen_BMb
TBd1,frozen,A8,gex,10,TBd1_frozen_LNb
TBd2,frozen,A9,gex,10,TBd2_frozen_BMb
TBd2,frozen,A*,gex,10,TBd2_frozen_SPb
TBd6,fresh,C11,gex,10,TBd6_fresh_LN
TBd6,fresh,C10,gex,10,TBd6_fresh_BM
TBd6,fresh,C9,gex,10,TBd6_fresh_PB
TBd6,fresh,C12,gex,10,TBd6_fresh_SP
TBd1,frozen,B1,vdj,10,TBd1_frozen_PBa
TBd1,frozen,B2,vdj,10,TBd1_frozen_BMa
TBd1,frozen,B3,vdj,10,TBd1_frozen_LNa
TBd1,frozen,B4,vdj,10,TBd1_frozen_PBb
TBd1,frozen,B5,vdj,10,TBd1_frozen_BMb
TBd1,frozen,B6,vdj,10,TBd1_frozen_LNb
TBd1,frozen,B7,vdj,40,TBd1_frozen_PBoverA
TBd1,frozen,B8,vdj,40,TBd1_frozen_BMoverA
TBd1,frozen,B9,vdj,40,TBd1_frozen_LNoverA
TBd1,frozen,B10,vdj,40,TBd1_frozen_PBoverB
TBd1,frozen,B11,vdj,40,TBd1_frozen_BMoverB
TBd1,frozen,B12,vdj,40,TBd1_frozen_LNoverB
TBd2,frozen,D9,vdj,13,TBd2_frozen_PB1
TBd2,frozen,D10,vdj,13,TBd2_frozen_PB2
TBd2,frozen,D11,vdj,20,TBd2_frozen_LN1
TBd2,frozen,D12,vdj,30,TBd2_frozen_LN2
TBd2,frozen,E9,vdj,10,TBd2_frozen_BMa
TBd2,frozen,E10,vdj,10,TBd2_frozen_SPa
TBd2,frozen,E11,vdj,10,TBd2_frozen_BMb
TBd2,frozen,E12,vdj,10,TBd2_frozen_SPb
TBd2,frozen,H9,vdj,40,TBd2_frozen_BMoverA
TBd2,frozen,H10,vdj,40,TBd2_frozen_BMoverB
TBd2,frozen,H11,vdj,40,TBd2_frozen_SPoverA
TBd2,frozen,H12,vdj,40,TBd2_frozen_SPoverB
TBd3,frozen,C1,vdj,10,TBd3_frozen_PBa
TBd3,frozen,C2,vdj,10,TBd3_frozen_PBb
TBd3,frozen,C5,vdj,16,TBd3_frozen_BMa
TBd3,frozen,C6,vdj,16,TBd3_frozen_BMb
TBd3,frozen,C3,vdj,32,TBd3_frozen_PBoverA
TBd3,frozen,C4,vdj,32,TBd3_frozen_PBoverB
TBd3,frozen,C7,vdj,48,TBd3_frozen_BMoverA
TBd3,frozen,C8,vdj,48,TBd3_frozen_BMoverB
TBd3,fresh,C9,vdj,20,TBd3_fresh_P50
TBd3,fresh,C10,vdj,5,TBd3_fresh_P6
TBd3,fresh,C11,vdj,20,TBd3_fresh_B200
TBd3,fresh,C12,vdj,20,TBd3_fresh_B20
TBd4,frozen,G1,vdj,10,TBd4_frozen_PBa
TBd4,frozen,G2,vdj,10,TBd4_frozen_PBb
TBd4,frozen,G3,vdj,10,TBd4_frozen_BMa
TBd4,frozen,G4,vdj,10,TBd4_frozen_BMb
TBd4,frozen,G5,vdj,40,TBd4_frozen_PBoverA
TBd4,frozen,G6,vdj,40,TBd4_frozen_PBoverB
TBd4,frozen,G7,vdj,40,TBd4_frozen_BMoverA
TBd4,frozen,G8,vdj,40,TBd4_frozen_BMoverB
TBd5,frozen,D1,vdj,10,TBd5_frozen_LNa
TBd5,frozen,D2,vdj,10,TBd5_frozen_SPa
TBd5,frozen,D3,vdj,10,TBd5_frozen_BMa
TBd5,frozen,D4,vdj,10,TBd5_frozen_LNb
TBd5,frozen,D5,vdj,10,TBd5_frozen_SPb
TBd5,frozen,D6,vdj,10,TBd5_frozen_BMb
TBd5,frozen,A7,vdj,40,TBd5_frozen_LNoverA
TBd5,frozen,A8,vdj,40,TBd5_frozen_BMoverA
TBd5,frozen,A9,vdj,40,TBd5_frozen_SPoverA
TBd5,frozen,A10,vdj,40,TBd5_frozen_LNoverB
TBd5,frozen,A11,vdj,40,TBd5_frozen_BMoverB
TBd5,frozen,A12,vdj,40,TBd5_frozen_SPoverB
TBd5,fresh,G9,vdj,50,TBd5_fresh_PB
TBd5,fresh,G12,vdj,100,TBd5_fresh_SP
TBd5,fresh,G11,vdj,100,TBd5_fresh_LN
TBd5,fresh,G10,vdj,100,TBd5_fresh_BM1
TBd5,fresh,F12,vdj,100,TBd5_fresh_BM2
TBd6,fresh,H1,vdj,20,TBd6_fresh_PB
TBd6,fresh,H2,vdj,20,TBd6_fresh_BM
TBd6,fresh,H3,vdj,20,TBd6_fresh_LN
TBd6,fresh,H4,vdj,20,TBd6_fresh_SP
TBd6,fresh,H5,vdj,70,TBd6_fresh_PBover
TBd6,fresh,H6,vdj,70,TBd6_fresh_BMover
TBd6,fresh,H7,vdj,70,TBd6_fresh_LNover
TBd6,fresh,H8,vdj,70,TBd6_fresh_SPover
