sample_uid	sample_uid_vdj	sample_uid_gex	encapsulation_sibling_sample	is_gex_sample	cell_suspension	donor_subanatomical	donor_tissue	donor
TBd1_frozen_BM_HTa	TBd1_frozen_BM_HTa	TBd1_frozen_BM_HTa	TBd1_frozen_BM_HTb	TRUE	TBd1_frozen_BM	TBd1_BM	TBd1_BM	TBd1
TBd1_frozen_BM_HTb	TBd1_frozen_BM_HTb	TBd1_frozen_BM_HTb	TBd1_frozen_BM_HTa	TRUE	TBd1_frozen_BM	TBd1_BM	TBd1_BM	TBd1
TBd1_frozen_BMover_HTa	TBd1_frozen_BMover_HTa		TBd1_frozen_BMover_HTb	FALSE	TBd1_frozen_BM	TBd1_BM	TBd1_BM	TBd1
TBd1_frozen_BMover_HTb	TBd1_frozen_BMover_HTb		TBd1_frozen_BMover_HTa	FALSE	TBd1_frozen_BM	TBd1_BM	TBd1_BM	TBd1
TBd1_frozen_MELN_HTa	TBd1_frozen_MELN_HTa	TBd1_frozen_MELN_HTa	TBd1_frozen_MELN_HTb	TRUE	TBd1_frozen_MELN	TBd1_MELN	TBd1_LN	TBd1
TBd1_frozen_MELN_HTb	TBd1_frozen_MELN_HTb	TBd1_frozen_MELN_HTb	TBd1_frozen_MELN_HTa	TRUE	TBd1_frozen_MELN	TBd1_MELN	TBd1_LN	TBd1
TBd1_frozen_MELNover_HTa	TBd1_frozen_MELNover_HTa		TBd1_frozen_MELNover_HTb	FALSE	TBd1_frozen_MELN	TBd1_MELN	TBd1_LN	TBd1
TBd1_frozen_MELNover_HTb	TBd1_frozen_MELNover_HTb		TBd1_frozen_MELNover_HTa	FALSE	TBd1_frozen_MELN	TBd1_MELN	TBd1_LN	TBd1
TBd1_frozen_PB_HTa	TBd1_frozen_PB_HTa	TBd1_frozen_PB_HTa	TBd1_frozen_PB_HTb	TRUE	TBd1_frozen_PB	TBd1_PB	TBd1_PB	TBd1
TBd1_frozen_PB_HTb	TBd1_frozen_PB_HTb	TBd1_frozen_PB_HTb	TBd1_frozen_PB_HTa	TRUE	TBd1_frozen_PB	TBd1_PB	TBd1_PB	TBd1
TBd1_frozen_PBover_HTa	TBd1_frozen_PBover_HTa		TBd1_frozen_PBover_HTb	FALSE	TBd1_frozen_PB	TBd1_PB	TBd1_PB	TBd1
TBd1_frozen_PBover_HTb	TBd1_frozen_PBover_HTb		TBd1_frozen_PBover_HTa	FALSE	TBd1_frozen_PB	TBd1_PB	TBd1_PB	TBd1
TBd2_frozen_BM_HTa	TBd2_frozen_BM_HTa	TBd2_frozen_BM_HTa	TBd2_frozen_BM_HTb	TRUE	TBd2_frozen_BM	TBd2_BM	TBd2_BM	TBd2
TBd2_frozen_BM_HTb	TBd2_frozen_BM_HTb	TBd2_frozen_BM_HTb	TBd2_frozen_BM_HTa	TRUE	TBd2_frozen_BM	TBd2_BM	TBd2_BM	TBd2
TBd2_frozen_BMover_HTa	TBd2_frozen_BMover_HTa	TBd2_frozen_BMover_HTa	TBd2_frozen_BMover_HTb	FALSE	TBd2_frozen_BM	TBd2_BM	TBd2_BM	TBd2
TBd2_frozen_BMover_HTb	TBd2_frozen_BMover_HTb	TBd2_frozen_BMover_HTb	TBd2_frozen_BMover_HTa	FALSE	TBd2_frozen_BM	TBd2_BM	TBd2_BM	TBd2
TBd2_frozen_SDLN1_a	TBd2_frozen_SDLN1_a	TBd2_frozen_SDLN1_a		TRUE	TBd2_frozen_SDLN1	TBd2_SDLN1	TBd2_LN	TBd2
