sample_uid	sample_gid	HT	lib type	LN_ID	sample_uid_final
TBd1_frozen_BMa	TBd1_frozen_BMa	1	GEX	-	TBd1_frozen_BM_HTa
TBd1_frozen_BMa	TBd1_frozen_BMa	1	VDJ	-	TBd1_frozen_BM_HTa
TBd1_frozen_BMb	TBd1_frozen_BMb	1	GEX	-	TBd1_frozen_BM_HTb
TBd1_frozen_BMb	TBd1_frozen_BMb	1	VDJ	-	TBd1_frozen_BM_HTb
TBd1_frozen_BMoverA	TBd1_frozen_BMoverA	1	VDJ	-	TBd1_frozen_BMover_HTa
TBd1_frozen_BMoverB	TBd1_frozen_BMoverB	1	VDJ	-	TBd1_frozen_BMover_HTb
TBd1_frozen_LNa	TBd1_frozen_LNa	1	GEX	ME	TBd1_frozen_MELN_HTa
TBd1_frozen_LNa	TBd1_frozen_LNa	1	VDJ	ME	TBd1_frozen_MELN_HTa
TBd1_frozen_LNb	TBd1_frozen_LNb	1	GEX	ME	TBd1_frozen_MELN_HTb
TBd1_frozen_LNb	TBd1_frozen_LNb	1	VDJ	ME	TBd1_frozen_MELN_HTb
TBd1_frozen_LNoverA	TBd1_frozen_LNoverA	1	VDJ	ME	TBd1_frozen_MELNover_HTa
TBd1_frozen_LNoverB	TBd1_frozen_LNoverB	1	VDJ	ME	TBd1_frozen_MELNover_HTb
TBd1_frozen_PBa	TBd1_frozen_PBa	1	GEX	-	TBd1_frozen_PB_HTa
TBd1_frozen_PBa	TBd1_frozen_PBa	1	VDJ	-	TBd1_frozen_PB_HTa
TBd1_frozen_PBb	TBd1_frozen_PBb	1	GEX	-	TBd1_frozen_PB_HTb
TBd1_frozen_PBb	TBd1_frozen_PBb	1	VDJ	-	TBd1_frozen_PB_HTb
TBd1_frozen_PBoverA	TBd1_frozen_PBoverA	1	VDJ	-	TBd1_frozen_PBover_HTa
TBd1_frozen_PBoverB	TBd1_frozen_PBoverB	1	VDJ	-	TBd1_frozen_PBover_HTb
TBd2_frozen_BMa	TBd2_frozen_BMa	1	GEX	-	TBd2_frozen_BM_HTa
TBd2_frozen_BMa	TBd2_frozen_BMa	1	VDJ	-	TBd2_frozen_BM_HTa
TBd2_frozen_BMb	TBd2_frozen_BMb	1	GEX	-	TBd2_frozen_BM_HTb
TBd2_frozen_BMb	TBd2_frozen_BMb	1	VDJ	-	TBd2_frozen_BM_HTb
TBd2_frozen_BMoverA	TBd2_frozen_BMoverA	1	VDJ	-	TBd2_frozen_BMover_HTa
TBd2_frozen_BMoverB	TBd2_frozen_BMoverB	1	VDJ	-	TBd2_frozen_BMover_HTb
TBd2_frozen_LN1	TBd2_frozen_LN1	0	GEX	SDLN1	TBd2_frozen_SDLN1_a
TBd2_frozen_LN1	TBd2_frozen_LN1	0	VDJ	SDLN1	TBd2_frozen_SDLN1_a
TBd2_frozen_LN2	TBd2_frozen_LN2	0	GEX	SDLN1	TBd2_frozen_SDLN1_b
TBd2_frozen_LN2	TBd2_frozen_LN2	0	VDJ	SDLN1	TBd2_frozen_SDLN1_b
TBd2_frozen_SLN4	TBd2_frozen_SLN4	1	GEX	SDLN2	TBd2_frozen_SDLN2_HT
TBd2_frozen_SLN4a	TBd2_frozen_SLN4a	1	VDJ	SDLN2	TBd2_frozen_SDLN2_HTa
TBd2_frozen_SLN4b	TBd2_frozen_SLN4b	1	VDJ	SDLN2	TBd2_frozen_SDLN2_HTb
TBd2_frozen_SLN4overA	TBd2_frozen_SLN4overA	1	VDJ	SDLN2	TBd2_frozen_SDLN2over_HTa
TBd2_frozen_SLN4overB	TBd2_frozen_SLN4overB	1	VDJ	SDLN2	TBd2_frozen_SDLN2over_HTb
TBd2_frozen_PB1	TBd2_frozen_PB1	0	GEX	-	TBd2_frozen_PB_a
TBd2_frozen_PB1	TBd2_frozen_PB1	0	VDJ	-	TBd2_frozen_PB_a
TBd2_frozen_PB2	TBd2_frozen_PB2	0	GEX	-	TBd2_frozen_PB_b
TBd2_frozen_PB2	TBd2_frozen_PB2	0	VDJ	-	TBd2_frozen_PB_b
TBd2_frozen_SPa	TBd2_frozen_SPa	1	GEX	-	TBd2_frozen_SP_HTa
TBd2_frozen_SPa	TBd2_frozen_SPa	1	VDJ	-	TBd2_frozen_SP_HTa
TBd2_frozen_SPb	TBd2_frozen_SPb	1	GEX	-	TBd2_frozen_SP_HTb
TBd2_frozen_SPb	TBd2_frozen_SPb	1	VDJ	-	TBd2_frozen_SP_HTb
TBd2_frozen_SPoverA	TBd2_frozen_SPoverA	1	VDJ	-	TBd2_frozen_SPover_HTa
TBd2_frozen_SPoverB	TBd2_frozen_SPoverB	1	VDJ	-	TBd2_frozen_SPover_HTb
TBd3_fresh_B200	TBd3_fresh_BM1	0	GEX	-	TBd3_fresh_BM_a
TBd3_fresh_B200	TBd3_fresh_BM1	0	VDJ	-	TBd3_fresh_BM_a
TBd3_fresh_B20	TBd3_fresh_BM2	0	GEX	-	TBd3_fresh_BM_b
TBd3_fresh_B20	TBd3_fresh_BM2	0	VDJ	-	TBd3_fresh_BM_b
TBd3_fresh_P50	TBd3_fresh_PB1	0	GEX	-	TBd3_fresh_PB_a
TBd3_fresh_P50	TBd3_fresh_PB1	0	VDJ	-	TBd3_fresh_PB_a
TBd3_fresh_P6	TBd3_fresh_PB2	0	GEX	-	TBd3_fresh_PB_b
TBd3_fresh_P6	TBd3_fresh_PB2	0	VDJ	-	TBd3_fresh_PB_b
TBd3_frozen_BMa	TBd3_frozen_BMa	1	GEX	-	TBd3_frozen_BM_HTa
TBd3_frozen_BMa	TBd3_frozen_BMa	1	VDJ	-	TBd3_frozen_BM_HTa
TBd3_frozen_BMb	TBd3_frozen_BMb	1	GEX	-	TBd3_frozen_BM_HTb
TBd3_frozen_BMb	TBd3_frozen_BMb	1	VDJ	-	TBd3_frozen_BM_HTb
TBd3_frozen_BMoverA	TBd3_frozen_BMoverA	1	VDJ	-	TBd3_frozen_BMover_HTa
TBd3_frozen_BMoverB	TBd3_frozen_BMoverB	1	VDJ	-	TBd3_frozen_BMover_HTb
TBd3_frozen_PBa	TBd3_frozen_PBa	1	GEX	-	TBd3_frozen_PB_HTa
TBd3_frozen_PBa	TBd3_frozen_PBa	1	VDJ	-	TBd3_frozen_PB_HTa
TBd3_frozen_PBb	TBd3_frozen_PBb	1	GEX	-	TBd3_frozen_PB_HTb
TBd3_frozen_PBb	TBd3_frozen_PBb	1	VDJ	-	TBd3_frozen_PB_HTb
TBd3_frozen_PBoverA	TBd3_frozen_PBoverA	1	VDJ	-	TBd3_frozen_PBover_HTa
TBd3_frozen_PBoverB	TBd3_frozen_PBoverB	1	VDJ	-	TBd3_frozen_PBover_HTb
TBd4_frozen_BMa	TBd4_frozen_BMa	1	GEX	-	TBd4_frozen_BM_HTa
TBd4_frozen_BMa	TBd4_frozen_BMa	1	VDJ	-	TBd4_frozen_BM_HTa
TBd4_frozen_BMb	TBd4_frozen_BMb	1	GEX	-	TBd4_frozen_BM_HTb
TBd4_frozen_BMb	TBd4_frozen_BMb	1	VDJ	-	TBd4_frozen_BM_HTb
TBd4_frozen_BMoverA	TBd4_frozen_BMoverA	1	VDJ	-	TBd4_frozen_BMover_HTa
TBd4_frozen_BMoverB	TBd4_frozen_BMoverB	1	VDJ	-	TBd4_frozen_BMover_HTb
TBd4_frozen_PBa	TBd4_frozen_PBa	1	GEX	-	TBd4_frozen_PB_HTa
TBd4_frozen_PBa	TBd4_frozen_PBa	1	VDJ	-	TBd4_frozen_PB_HTa
TBd4_frozen_PBb	TBd4_frozen_PBb	1	GEX	-	TBd4_frozen_PB_HTb
TBd4_frozen_PBb	TBd4_frozen_PBb	1	VDJ	-	TBd4_frozen_PB_HTb
TBd4_frozen_PBoverA	TBd4_frozen_PBoverA	1	VDJ	-	TBd4_frozen_PBover_HTa
TBd4_frozen_PBoverB	TBd4_frozen_PBoverB	1	VDJ	-	TBd4_frozen_PBover_HTb
TBd5_frozen_PB	TBd5_frozen_PB	1	GEX	-	TBd5_frozen_PB_HT
TBd5_frozen_PBa	TBd5_frozen_PBa	1	VDJ	-	TBd5_frozen_PB_HTa
TBd5_frozen_PBb	TBd5_frozen_PBb	1	VDJ	-	TBd5_frozen_PB_HTb
TBd5_frozen_PBover	TBd5_frozen_PBover	1	GEX	-	TBd5_frozen_PBover_HT
TBd5_frozen_PBoverA	TBd5_frozen_PBoverA	1	VDJ	-	TBd5_frozen_PBover_HTa
TBd5_frozen_PBoverA	TBd5_frozen_PBoverA	1	VDJ	-	TBd5_frozen_PBover_HTb
TBd5_fresh_BM1	TBd5_fresh_BM1	0	VDJ	-	TBd5_fresh_BM_a
TBd5_fresh_BM2	TBd5_fresh_BM2	0	VDJ	-	TBd5_fresh_BM_b
TBd5_fresh_LN	TBd5_fresh_LN	0	VDJ	SDLN1	TBd5_fresh_SDLN1
TBd5_fresh_PB	TBd5_fresh_PB	0	VDJ	-	TBd5_fresh_PB
TBd5_fresh_SP	TBd5_fresh_SP	0	VDJ	-	TBd5_fresh_SP
TBd5_frozen_BM	TBd5_frozen_BM	1	GEX	-	TBd5_frozen_BM_HT
TBd5_frozen_BMa	TBd5_frozen_BMa	1	VDJ	-	TBd5_frozen_BM_HTa
TBd5_frozen_BMb	TBd5_frozen_BMb	1	VDJ	-	TBd5_frozen_BM_HTb
TBd5_frozen_BMoverA	TBd5_frozen_BMoverA	1	VDJ	-	TBd5_frozen_BMover_HTa
TBd5_frozen_BMoverB	TBd5_frozen_BMoverB	1	VDJ	-	TBd5_frozen_BMover_HTb
TBd5_frozen_LN	TBd5_frozen_LN	1	GEX	SDLN1	TBd5_frozen_SDLN1_HT
TBd5_frozen_LNa	TBd5_frozen_LNa	1	VDJ	SDLN1	TBd5_frozen_SDLN1_HTa
TBd5_frozen_LNb	TBd5_frozen_LNb	1	VDJ	SDLN1	TBd5_frozen_SDLN1_HTb
TBd5_frozen_LNoverA	TBd5_frozen_LNoverA	1	VDJ	SDLN1	TBd5_frozen_SDLN1over_HTa
TBd5_frozen_LNoverB	TBd5_frozen_LNoverB	1	VDJ	SDLN1	TBd5_frozen_SDLN1over_HTb
TBd5_frozen_SP	TBd5_frozen_SP	1	GEX	-	TBd5_frozen_SP_HT
TBd5_frozen_SPa	TBd5_frozen_SPa	1	VDJ	-	TBd5_frozen_SP_HTa
TBd5_frozen_SPb	TBd5_frozen_SPb	1	VDJ	-	TBd5_frozen_SP_HTb
TBd5_frozen_SPoverA	TBd5_frozen_SPoverA	1	VDJ	-	TBd5_frozen_SPover_HTa
TBd5_frozen_SPoverB	TBd5_frozen_SPoverB	1	VDJ	-	TBd5_frozen_SPover_HTb
TBd6_fresh_BM	TBd6_fresh_BM	0	GEX	-	TBd6_fresh_BM
TBd6_fresh_BM	TBd6_fresh_BM	0	VDJ	-	TBd6_fresh_BM
TBd6_fresh_BMover	TBd6_fresh_BMover	0	VDJ	-	TBd6_fresh_BMover
